GENE_ID,HIGH,LOW,MODERATE,MODIFIER,MODERATE_ratio_control,HIGH_ratio_control,LOW_ratio_control,MODIFIER_ratio_control
ENSG00000075218,0,0,1,2,0.33,0.0,0.0,0.67
ENSG00000075240,0,0,0,2,0.0,0.0,0.0,1.0
ENSG00000075420,0,3,4,3,0.4,0.0,0.3,0.3
ENSG00000075568,0,1,0,3,0.0,0.0,0.25,0.75
ENSG00000075618,0,0,0,6,0.0,0.0,0.0,1.0
ENSG00000075624,0,0,0,13,0.0,0.0,0.0,1.0
ENSG00000075711,0,0,0,13,0.0,0.0,0.0,1.0
ENSG00000076248,0,0,0,5,0.0,0.0,0.0,1.0
ENSG00000076650,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000077009,0,2,0,2,0.0,0.0,0.5,0.5
ENSG00000077157,1,0,0,8,0.0,0.11,0.0,0.89
ENSG00000077254,0,5,0,14,0.0,0.0,0.26,0.74
ENSG00000077264,0,9,0,0,0.0,0.0,1.0,0.0
ENSG00000077348,0,0,2,3,0.4,0.0,0.0,0.6
ENSG00000077420,0,0,1,1,0.5,0.0,0.0,0.5
ENSG00000077454,0,0,0,13,0.0,0.0,0.0,1.0
ENSG00000077721,0,0,0,3,0.0,0.0,0.0,1.0
ENSG00000078053,0,0,0,8,0.0,0.0,0.0,1.0
ENSG00000078061,0,0,0,2,0.0,0.0,0.0,1.0
ENSG00000078070,0,0,8,30,0.21,0.0,0.0,0.79
ENSG00000078081,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000078269,0,5,0,7,0.0,0.0,0.42,0.58
ENSG00000078319,0,0,0,1,0.0,0.0,0.0,1.0
ENSG00000078549,0,0,4,1,0.8,0.0,0.0,0.2
ENSG00000078596,0,0,2,3,0.4,0.0,0.0,0.6
ENSG00000078725,0,1,0,1,0.0,0.0,0.5,0.5
ENSG00000079101,0,0,1,9,0.1,0.0,0.0,0.9
ENSG00000079112,0,0,4,7,0.36,0.0,0.0,0.64
ENSG00000079150,0,0,4,4,0.5,0.0,0.0,0.5
ENSG00000079335,0,0,4,1,0.8,0.0,0.0,0.2
ENSG00000079385,0,0,0,12,0.0,0.0,0.0,1.0
ENSG00000079557,0,0,0,2,0.0,0.0,0.0,1.0
ENSG00000079689,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000079785,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000079819,0,12,0,6,0.0,0.0,0.67,0.33
ENSG00000079974,0,11,0,2,0.0,0.0,0.85,0.15
ENSG00000079999,0,0,4,5,0.44,0.0,0.0,0.56
ENSG00000080007,1,2,0,2,0.0,0.2,0.4,0.4
ENSG00000080293,0,0,1,1,0.5,0.0,0.0,0.5
ENSG00000080298,0,4,0,0,0.0,0.0,1.0,0.0
ENSG00000080493,0,0,4,0,1.0,0.0,0.0,0.0
ENSG00000080561,0,0,2,1,0.67,0.0,0.0,0.33
ENSG00000080709,0,3,2,4,0.22,0.0,0.33,0.44
ENSG00000080819,0,0,1,3,0.25,0.0,0.0,0.75
ENSG00000080822,0,0,0,32,0.0,0.0,0.0,1.0
ENSG00000080910,0,0,3,5,0.38,0.0,0.0,0.62
ENSG00000080986,0,0,0,2,0.0,0.0,0.0,1.0
ENSG00000081148,0,0,1,0,1.0,0.0,0.0,0.0
ENSG00000081277,0,0,3,0,1.0,0.0,0.0,0.0
ENSG00000081985,0,4,0,4,0.0,0.0,0.5,0.5
ENSG00000082014,0,3,0,27,0.0,0.0,0.1,0.9
ENSG00000082068,0,0,1,7,0.12,0.0,0.0,0.88
ENSG00000082146,0,0,0,1,0.0,0.0,0.0,1.0
ENSG00000082516,0,0,1,3,0.25,0.0,0.0,0.75
ENSG00000082684,0,0,3,3,0.5,0.0,0.0,0.5
ENSG00000082781,0,3,0,2,0.0,0.0,0.6,0.4
ENSG00000082898,0,0,0,7,0.0,0.0,0.0,1.0
ENSG00000082996,0,0,0,5,0.0,0.0,0.0,1.0
ENSG00000083093,0,0,1,3,0.25,0.0,0.0,0.75
ENSG00000083223,0,4,0,2,0.0,0.0,0.67,0.33
ENSG00000083290,0,0,0,3,0.0,0.0,0.0,1.0
ENSG00000083520,0,0,0,5,0.0,0.0,0.0,1.0
ENSG00000083720,0,0,2,8,0.2,0.0,0.0,0.8
ENSG00000083807,0,0,4,17,0.19,0.0,0.0,0.81
ENSG00000084092,0,0,2,1,0.67,0.0,0.0,0.33
ENSG00000084112,0,0,2,3,0.4,0.0,0.0,0.6
ENSG00000084207,0,0,0,9,0.0,0.0,0.0,1.0
ENSG00000084444,0,0,3,1,0.75,0.0,0.0,0.25
ENSG00000084693,0,0,10,13,0.43,0.0,0.0,0.57
ENSG00000084734,2,0,0,5,0.0,0.29,0.0,0.71
ENSG00000084754,0,0,1,1,0.5,0.0,0.0,0.5
ENSG00000084774,0,2,3,12,0.18,0.0,0.12,0.71
ENSG00000085063,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000085231,0,0,3,9,0.25,0.0,0.0,0.75
ENSG00000085274,0,4,0,2,0.0,0.0,0.67,0.33
ENSG00000085382,0,0,0,6,0.0,0.0,0.0,1.0
ENSG00000085415,0,0,0,7,0.0,0.0,0.0,1.0
ENSG00000085449,0,2,0,6,0.0,0.0,0.25,0.75
ENSG00000085662,0,0,0,14,0.0,0.0,0.0,1.0
ENSG00000085831,0,0,6,13,0.32,0.0,0.0,0.68
ENSG00000086065,0,0,0,2,0.0,0.0,0.0,1.0
ENSG00000086300,0,6,0,1,0.0,0.0,0.86,0.14
ENSG00000086712,2,0,0,0,0.0,1.0,0.0,0.0
ENSG00000086991,0,0,0,15,0.0,0.0,0.0,1.0
ENSG00000087152,0,0,0,10,0.0,0.0,0.0,1.0
ENSG00000087191,0,0,0,17,0.0,0.0,0.0,1.0
ENSG00000087258,0,0,0,6,0.0,0.0,0.0,1.0
ENSG00000087263,0,0,0,3,0.0,0.0,0.0,1.0
ENSG00000087274,0,0,0,9,0.0,0.0,0.0,1.0
ENSG00000087299,0,0,1,5,0.17,0.0,0.0,0.83
ENSG00000087460,0,3,1,70,0.01,0.0,0.04,0.95
ENSG00000087502,0,0,0,12,0.0,0.0,0.0,1.0
ENSG00000087589,0,0,3,1,0.75,0.0,0.0,0.25
ENSG00000088002,0,0,0,5,0.0,0.0,0.0,1.0
ENSG00000088386,0,1,0,0,0.0,0.0,1.0,0.0
ENSG00000088543,0,0,0,30,0.0,0.0,0.0,1.0
ENSG00000088726,0,0,6,11,0.35,0.0,0.0,0.65
ENSG00000088827,0,2,0,0,0.0,0.0,1.0,0.0
ENSG00000088888,2,0,0,1,0.0,0.67,0.0,0.33
ENSG00000088899,0,3,6,0,0.67,0.0,0.33,0.0
ENSG00000088986,0,0,0,11,0.0,0.0,0.0,1.0
ENSG00000088992,0,0,9,5,0.64,0.0,0.0,0.36
ENSG00000089006,0,0,4,10,0.29,0.0,0.0,0.71
ENSG00000089012,5,0,0,0,0.0,1.0,0.0,0.0
ENSG00000089050,0,0,0,3,0.0,0.0,0.0,1.0
ENSG00000089053,0,0,0,1,0.0,0.0,0.0,1.0
ENSG00000089057,0,0,4,2,0.67,0.0,0.0,0.33
ENSG00000089127,0,0,5,5,0.5,0.0,0.0,0.5
ENSG00000089250,0,2,0,7,0.0,0.0,0.22,0.78
ENSG00000089327,0,0,0,13,0.0,0.0,0.0,1.0
ENSG00000089472,0,7,5,3,0.33,0.0,0.47,0.2
ENSG00000089505,0,12,4,26,0.1,0.0,0.29,0.62
ENSG00000089685,0,4,0,7,0.0,0.0,0.36,0.64
ENSG00000089693,0,0,0,22,0.0,0.0,0.0,1.0
ENSG00000089723,0,0,0,1,0.0,0.0,0.0,1.0
ENSG00000089737,0,0,8,11,0.42,0.0,0.0,0.58
ENSG00000089902,0,2,4,2,0.5,0.0,0.25,0.25
ENSG00000090339,0,0,0,10,0.0,0.0,0.0,1.0
ENSG00000090447,0,0,0,6,0.0,0.0,0.0,1.0
ENSG00000090512,6,6,0,6,0.0,0.33,0.33,0.33
ENSG00000090534,0,0,2,2,0.5,0.0,0.0,0.5
ENSG00000090539,0,0,0,17,0.0,0.0,0.0,1.0
ENSG00000090554,0,0,6,7,0.46,0.0,0.0,0.54
ENSG00000091129,0,0,0,11,0.0,0.0,0.0,1.0
ENSG00000091164,0,0,0,8,0.0,0.0,0.0,1.0
ENSG00000091651,0,0,0,7,0.0,0.0,0.0,1.0
ENSG00000091831,0,14,11,10,0.31,0.0,0.4,0.29
ENSG00000091844,0,0,2,0,1.0,0.0,0.0,0.0
ENSG00000092067,0,1,0,0,0.0,0.0,1.0,0.0
ENSG00000092295,0,0,3,6,0.33,0.0,0.0,0.67
ENSG00000092470,0,0,3,3,0.5,0.0,0.0,0.5
ENSG00000092820,0,0,0,3,0.0,0.0,0.0,1.0
ENSG00000092847,0,4,0,2,0.0,0.0,0.67,0.33
ENSG00000092969,0,2,0,2,0.0,0.0,0.5,0.5
ENSG00000093009,0,0,1,17,0.06,0.0,0.0,0.94
ENSG00000093167,0,0,3,6,0.33,0.0,0.0,0.67
ENSG00000094631,0,0,3,10,0.23,0.0,0.0,0.77
ENSG00000094916,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000095321,0,0,1,6,0.14,0.0,0.0,0.86
ENSG00000095370,0,6,12,29,0.26,0.0,0.13,0.62
ENSG00000095397,0,3,0,0,0.0,0.0,1.0,0.0
ENSG00000095485,0,0,2,13,0.13,0.0,0.0,0.87
ENSG00000095564,4,2,2,3,0.18,0.36,0.18,0.27
ENSG00000095932,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000096006,0,0,0,6,0.0,0.0,0.0,1.0
ENSG00000096070,0,3,0,8,0.0,0.0,0.27,0.73
ENSG00000096872,0,0,0,3,0.0,0.0,0.0,1.0
ENSG00000097007,0,0,0,3,0.0,0.0,0.0,1.0
ENSG00000097046,0,0,4,2,0.67,0.0,0.0,0.33
ENSG00000099256,0,0,1,2,0.33,0.0,0.0,0.67
ENSG00000099282,0,1,0,6,0.0,0.0,0.14,0.86
ENSG00000099338,0,0,7,54,0.11,0.0,0.0,0.89
ENSG00000099804,0,0,3,6,0.33,0.0,0.0,0.67
ENSG00000099812,0,1,3,0,0.75,0.0,0.25,0.0
ENSG00000099889,0,0,5,16,0.24,0.0,0.0,0.76
ENSG00000099940,0,0,0,6,0.0,0.0,0.0,1.0
ENSG00000099958,0,0,0,10,0.0,0.0,0.0,1.0
ENSG00000099974,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000099977,0,0,0,13,0.0,0.0,0.0,1.0
ENSG00000099984,0,2,0,6,0.0,0.0,0.25,0.75
ENSG00000099992,0,0,3,6,0.33,0.0,0.0,0.67
ENSG00000100012,0,15,0,3,0.0,0.0,0.83,0.17
ENSG00000100024,0,2,2,6,0.2,0.0,0.2,0.6
ENSG00000100038,0,0,4,4,0.5,0.0,0.0,0.5
ENSG00000100056,0,3,0,5,0.0,0.0,0.38,0.62
ENSG00000100068,0,4,0,3,0.0,0.0,0.57,0.43
ENSG00000100092,0,0,0,5,0.0,0.0,0.0,1.0
ENSG00000100105,0,1,0,5,0.0,0.0,0.17,0.83
ENSG00000100122,0,0,1,0,1.0,0.0,0.0,0.0
ENSG00000100138,0,0,0,7,0.0,0.0,0.0,1.0
ENSG00000100162,0,0,0,7,0.0,0.0,0.0,1.0
ENSG00000100170,0,0,2,0,1.0,0.0,0.0,0.0
ENSG00000100197,0,0,7,3,0.7,0.0,0.0,0.3
ENSG00000100209,0,4,0,3,0.0,0.0,0.57,0.43
ENSG00000100216,0,1,0,1,0.0,0.0,0.5,0.5
ENSG00000100221,0,0,0,3,0.0,0.0,0.0,1.0
ENSG00000100227,0,0,0,6,0.0,0.0,0.0,1.0
ENSG00000100228,0,0,0,9,0.0,0.0,0.0,1.0
ENSG00000100290,0,0,0,1,0.0,0.0,0.0,1.0
ENSG00000100292,0,0,1,3,0.25,0.0,0.0,0.75
ENSG00000100294,1,0,0,5,0.0,0.17,0.0,0.83
ENSG00000100297,0,0,2,10,0.17,0.0,0.0,0.83
ENSG00000100300,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000100312,0,0,0,8,0.0,0.0,0.0,1.0
ENSG00000100314,0,0,0,1,0.0,0.0,0.0,1.0
ENSG00000100325,0,3,0,15,0.0,0.0,0.17,0.83
ENSG00000100335,0,3,0,3,0.0,0.0,0.5,0.5
ENSG00000100380,0,0,0,2,0.0,0.0,0.0,1.0
ENSG00000100412,0,0,0,5,0.0,0.0,0.0,1.0
ENSG00000100426,0,1,0,1,0.0,0.0,0.5,0.5
ENSG00000100479,0,0,3,7,0.3,0.0,0.0,0.7
ENSG00000100485,0,2,0,0,0.0,0.0,1.0,0.0
ENSG00000100522,0,2,0,2,0.0,0.0,0.5,0.5
