,GENE,GENE_ID
910,CTB-113P19.3DSCC1,ENSG00000253921ENSG00000136982
911,G3BP1DSCC1,ENSG00000145907ENSG00000136982
912,G3BP1DEPTOR,ENSG00000145907ENSG00000155792
920,ATOX1DEPTOR,ENSG00000177556ENSG00000155792
922,FAM114A2DEPTOR,ENSG00000055147ENSG00000155792
923,FAM114A2FAM83A,ENSG00000055147ENSG00000147689
925,FAM114A2U3,ENSG00000055147ENSG00000221461
929,FAM114A2RP11-539E17.5,ENSG00000055147ENSG00000253258
936,HAND1FAM83A,ENSG00000113196ENSG00000147689
937,MIR378HFAM83A-AS1,ENSG00000263361ENSG00000204949
938,KIF4BFAM83A,ENSG00000226650ENSG00000147689
939,CTB-47B11.3FAM83A-AS1,ENSG00000248544ENSG00000204949
940,CTB-109A12.1FAM83A,ENSG00000251405ENSG00000147689
941,CTB-47B11.3FAM83A,ENSG00000248544ENSG00000147689
942,EBF1FAM83A-AS1,ENSG00000164330ENSG00000204949
943,EBF1FAM83A,ENSG00000164330ENSG00000147689
944,RP11-175K6.1FAM83A,ENSG00000245812ENSG00000147689
945,RP11-175K6.1ATAD2,ENSG00000245812ENSG00000156802
946,EBF1ATAD2,ENSG00000164330ENSG00000156802
949,EBF1WDYHV1,ENSG00000164330ENSG00000156795
950,RP11-175K6.1WDYHV1,ENSG00000245812ENSG00000156795
952,PWWP2AWDYHV1,ENSG00000170234ENSG00000156795
958,PWWP2AFER1L6-AS1,ENSG00000170234ENSG00000181171
959,PWWP2ARP11-959I15.4,ENSG00000170234ENSG00000254249
960,PWWP2AFER1L6-AS2,ENSG00000170234ENSG00000253868
962,CTB-127C13.1FER1L6-AS2,ENSG00000247699ENSG00000253868
963,CTB-127C13.1TRMT12,ENSG00000247699ENSG00000183665
964,MAT2BTRMT12,ENSG00000038274ENSG00000183665
966,MAT2BTATDN1,ENSG00000038274ENSG00000147687
979,FBLL1TATDN1,ENSG00000188573ENSG00000147687
980,CTC-558O2.2TATDN1,ENSG00000254192ENSG00000147687
981,Y_RNATATDN1,ENSG00000202345ENSG00000147687
982,C5orf58TATDN1,ENSG00000234511ENSG00000147687
994,LCP2TATDN1,ENSG00000043462ENSG00000147687
1002,LCP2MTSS1,ENSG00000043462ENSG00000170873
1003,RANBP17MTSS1,ENSG00000204764ENSG00000170873
1011,CTC-455F18.3MTSS1,ENSG00000253966ENSG00000170873
1016,RANBP17SQLE,ENSG00000204764ENSG00000104549
1021,RANBP17KIAA0196,ENSG00000204764ENSG00000164961
1023,STK10KIAA0196,ENSG00000072786ENSG00000164961
1024,RPL26L1KIAA0196,ENSG00000037241ENSG00000164961
